Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,44295,0,3.9876159999999987,0.37280870029298058,29380.619999999999,3601.7542941677125,3.1099659999999987,0.31751945561006034,32994.629999999997,3158.9250621985097,3.2130500000000008,0.36936678316417476,26880.349999999999,3045.1849436297111,2.9336890000000007,0.32151126027534149,77.990608925232522,80.575712405607803,73.569997712919232
15,66405,0,5.5641539999999994,0.38591117191667446,41945.949999999997,4602.8266575984562,4.1247930000000004,0.36551561954631057,51952.809999999998,3592.9441817022825,4.6403619999999997,0.39551784027494585,39127.349999999999,4095.8698077848176,4.0323379999999984,0.37781696674394599,74.131539134251156,83.397440113986775,72.469920854095676
20,88490,0,7.1391240000000042,0.50576526797207877,52617.43,5201.2044996881004,5.0614290000000013,0.38567442785595746,69473.139999999999,4024.9005484168761,5.9084090000000016,0.44082681798358792,49144.400000000001,4702.7395583356893,4.8602839999999983,0.38620098465629904,70.897059639249832,82.760980198691016,68.079557099722535
30,132585,0,10.136175999999997,0.43967545655284124,73286.360000000001,5791.1089751463142,6.6617760000000024,0.40136360454648295,106662.28999999999,4217.9958266738931,8.4775039999999962,0.41281756650627355,68873.190000000002,5555.6938336841768,6.4895620000000012,0.46267260732802967,65.722773558785917,83.636116815651178,64.023769910861873
50,220475,0,16.547944999999999,0.59392937421265135,108490.7,6983.1434566992903,9.6682800000000011,0.43921037831664733,178447.60000000001,4496.33427770246,13.572430000000001,0.48391274343951485,102053.64999999999,6585.7515518452083,9.3458250000000014,0.47350742991447409,58.42586496389734,82.018824693942378,56.477254426455985
70,307965,0,23.348084999999998,0.60523734298381326,142751.75,9045.9792340371623,12.737750000000002,0.61131949739455926,253127.35000000001,5892.4145285541299,19.111160000000002,0.67355518775180434,134588,8593.9219219166753,12.315990000000003,0.65041646488190441,54.555866144910823,81.853222651879179,52.749465320175105
100,438450,0,32.583894999999998,0.49312919784084736,191381.5,8826.5843038903895,16.751145000000001,0.64459736880351992,361293.79999999999,6665.695696308786,26.735605,0.81204937461695614,180209.5,8563.6132837537807,16.068460000000005,0.53367374460826811,51.409277497364883,82.051593279440667,49.314116682489939
150,653925,0,48.425535000000011,0.60067253910665974,262920.15000000002,11582.251813942697,23.134914999999999,0.80903318731941409,539501.05000000005,10830.947339015471,39.602339999999998,1.0639870435499224,247919.64999999999,11520.031068465963,22.297345000000004,0.76377351663338444,47.774206314912156,81.779870888364968,46.044602295049501
200,866900,0,63.603690000000007,1.0914415263514801,334779.20000000001,12457.028366883225,29.337670000000003,0.8437737203908533,712998.19999999995,7467.7921741004257,51.874859999999998,1.3185977663159207,315287.90000000002,11647.345042731602,28.007080000000002,0.7420491520108351,46.125735786713001,81.559513292389155,44.033734520748716
300,1285350,0,93.266819999999996,1.2151605269355239,468732.29999999999,16035.921717956982,41.626750000000001,1.4219486748433963,1057987.2,10070.903168148438,75.449929999999995,0.9738216926111285,443466.09999999998,15127.203578322069,39.978850000000001,1.3107159241761306,44.631895887519271,80.896861284645496,42.865029600022822
500,2092250,0,148.64026000000001,1.503427221162813,732282.5,13904.829298964203,63.908590000000004,1.2464272786649055,1711198.2,20004.682939529714,119.12353,1.9607355377510776,693524.5,15024.096358479897,61.052710000000005,1.2313771373276889,42.995477806618474,80.142170095773508,41.074141016707053
700,2859150,0,201.10523000000003,1.2057798325380733,1000744.5,15405.128794225209,85.420949999999991,1.1713089916366612,2325371,14876.149740813686,159.62818999999999,2.4195514995093141,947813.30000000005,16241.581361499941,81.841500000000011,1.5020838443827145,42.475747647139748,79.375454333037467,40.695858581102044
1000,3934500,0,276.02679999999998,1.6171915415998905,1432481.1000000001,28681.761151761002,120.30419000000002,1.8659129874020273,3162042.7000000002,26868.926435361886,215.82232000000005,1.8083743920377118,1363899.6000000001,28427.963530455167,114.96393,1.8685130452076384,43.584242544564525,78.188900498067596,41.649553594071307
