Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,434945,0,14.181443999999999,1.2936541210513459,222181.87,37914.357554371236,9.3206450000000025,0.78849135636711742,155833.82000000001,17440.725641921199,6.9450810000000009,0.58746885353844724,123100.64999999999,16029.931520534647,6.7864719999999998,0.58488275974115045,65.724230903425664,48.973017134221323,47.85459083010165
15,652380,0,18.051061999999995,0.91950384389922724,298126,46171.342970253398,11.491379999999999,0.80685596827150841,230158.57999999999,27807.350077759489,8.5677559999999993,0.65965355374903978,161133.79999999999,24295.590348950991,8.1694559999999949,0.61119976388884312,63.660409564822295,47.463999625063622,45.257481249579648
20,869790,0,21.535002999999993,1.486123503538211,352520,53259.885857325622,13.150665999999994,0.99279621905489601,300464.26000000001,26426.820837707342,9.7943679999999986,0.68217147565548342,192716.88,26838.817095702365,9.3342310000000062,0.79160238433690866,61.066469319739582,45.481154564965706,43.344461108271076
30,1304535,0,29.011912000000002,1.02678649854384,452663.46999999997,61324.888837884479,16.557277999999993,0.91468036914155393,444508.90999999997,27225.09253941476,12.156191000000002,0.6675008121048287,249896.89000000001,35459.824212048683,11.270067999999998,0.63656402502462817,57.070619819886367,41.900688930808833,38.846346976373006
50,2173725,0,43.271804999999993,0.8884318547305694,575795.55000000005,76960.039789952367,21.902519999999999,0.85210559056591362,753454.69999999995,48229.422953541325,16.970464999999997,0.91814440171180955,328183.15000000002,56911.878373753811,14.55104,1.02668643211778,50.616146010086716,39.218296995006334,33.627069635759362
70,3042515,0,57.596004999999991,0.81999459078767856,637589,66322.556431269652,26.621365000000004,1.2488017285108071,1060840.6499999999,74222.049850626921,21.91921,1.5411683831294669,381040.54999999999,52912.915668826223,17.594094999999999,1.2127491693950652,46.220853338699463,38.056823559203458,30.547422516544337
100,4344950,0,79.277635000000004,1.0948743082271084,743509.40000000002,84105.043058884665,32.744965000000001,1.3348169404453927,1525546.55,60906.209985409892,29.220829999999999,1.2635409747380988,471875.29999999999,62217.356385412859,21.632499999999997,1.0985179853832736,41.30416478745866,36.85885685162026,27.287014805625816
150,6513675,0,114.60161999999998,1.7349321772273829,857313.65000000002,104757.05756316423,41.406330000000004,2.3136888382203131,2309404.0499999998,82263.179647605473,40.605839999999993,1.1637309055022356,567389.44999999995,88005.205290114871,27.298935,1.8531411481660849,36.130667262818811,35.432169283470863,23.820723476683842
200,8679900,0,150.55826999999999,1.7788863632746317,926757,87421.163541152258,49.539430000000003,1.727997332206016,3075305.1000000001,87088.186353386773,52.435220000000001,1.7426687214984065,637664.09999999998,71927.403763099923,32.21143,1.4287630804689451,32.903825210000093,34.827193484622271,21.394660021000508
300,13004850,0,220.24483000000001,2.338506713957055,1044309.7,111111.65121429286,63.958360000000006,2.7225814919749318,4675234.5,162560.76719884714,77.700909999999993,3.4748442185545851,747813.80000000005,75554.379960984981,42.060279999999999,2.1366198787388981,29.039664631401337,35.279334366214179,19.097056670978382
500,21624750,0,357.68817999999999,2.0589555889657594,1260618.8999999999,91692.790988229332,91.466080000000005,2.2547955181001336,8128120.7999999998,201653.74771281148,130.44612000000001,3.8131940166275875,1017819.5,88190.004060991952,62.616689999999991,2.3251785797367641,25.571457239654944,36.469228588990561,17.5059433051436
700,30204650,0,494.74768999999998,1.8552278341367057,1454678.1000000001,80330.769900248473,118.49708000000001,2.646189638287058,11431606.5,204953.0026828644,180.18058000000002,2.8289070994526067,1227980.5,79471.411221967806,79.948779999999999,1.6604634358448791,23.951012282644516,36.418680398487567,16.159505464290294
1000,42999500,0,697.95096000000001,3.9803970494858327,1780267.7,109269.85144845153,159.33350999999999,3.2387964817025625,16445293.199999999,221083.87120618072,259.05374999999992,4.2939788653545019,1583261.2,96058.794515303656,107.99160999999999,1.5778055171309568,22.828754329673821,37.116325479371774,15.472664440493068
