Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,44295,0,2.3066920000000004,0.30255593244652451,24399.25,4223.3218778993669,1.6894689999999994,0.23025198962498156,32805.410000000003,3428.6477915771502,1.8157390000000009,0.26733188237156308,22769.98,3832.4908401717025,1.6525379999999998,0.23850470582994854,73.242071329852408,78.716144157954361,71.641034000204598
15,66405,0,2.9232259999999992,0.22582305561763372,33044.779999999999,4410.9600768535593,2.064651,0.20419470283446767,50993.019999999997,3604.3917207156651,2.3960910000000002,0.29999454712047718,30990.98,4034.9221363070451,2.0840130000000001,0.22263706964202501,70.629195279461825,81.967353875478693,71.291545710116182
20,88490,0,3.5081260000000003,0.24975439475815053,40718.139999999999,5249.6169076582837,2.3758490000000005,0.19740762856883654,69035.009999999995,3736.918466619471,2.8826020000000003,0.2213926914655121,38224.809999999998,4885.709980549439,2.4753250000000002,0.19776663238230652,67.724163841321555,82.169283543407516,70.559751844717098
30,132585,0,4.7020429999999989,0.22529751564667921,55467.540000000001,6772.7249345287801,3.0097059999999995,0.21857581807341966,107003.67,4210.0058951828969,3.9156119999999999,0.22586711221379258,52146.110000000001,6506.3001944347016,3.1367500000000006,0.22177676395489007,64.008474614119862,83.27469570142172,66.710363984336198
50,220475,0,7.1804099999999993,0.35546101999634516,83861.850000000006,11526.581061889765,4.2549700000000001,0.35476956954294164,179732.39999999999,3950.4930591669581,5.8294200000000007,0.23805068588985745,79325.149999999994,10959.156946422283,4.4973250000000009,0.36388887094102912,59.258036797341667,81.185057677764945,62.633261888945079
70,307965,0,9.3943500000000011,0.30116270213606255,105757.8,5871.9573227331957,5.2799899999999997,0.28075793075924055,251489.54999999999,4722.572063198746,7.9109999999999987,0.2708158997897786,99160.449999999997,5486.5266116666489,5.5015099999999997,0.25856399777882549,56.203888507453946,84.210190167494275,58.561901568495948
100,438450,0,13.337595000000002,0.31561821619598718,143171.14999999999,10280.640223126593,7.0986550000000008,0.45170642361115354,365700.34999999998,7335.0023590926512,11.082280000000001,0.45661714194255704,134596.14999999999,10058.581360028649,7.3776699999999993,0.39370789078091634,53.222901130226255,83.09054218545397,55.314844992669208
150,653925,0,19.893350000000005,0.49972279736922787,202398.95000000001,11815.754395921442,10.107524999999997,0.60755599774402436,542145.30000000005,8890.6545972960303,16.417425000000001,1.3537115330103615,189957.70000000001,11676.892327652035,10.481475000000001,1.062292457438901,50.808561655025393,82.527201300937236,52.688335549316719
200,866900,0,26.309059999999999,0.69307378346993742,252434.70000000001,13704.020821561011,12.58447,0.40118840420264712,721179.69999999995,8805.234390848309,21.223950000000002,0.73382658903706788,236356.79999999999,13176.039168800986,12.785689999999999,0.44804256605818132,47.833217910484066,80.671639351615013,48.598049493216408
300,1285350,0,37.921120000000002,0.75506344516353263,358208.90000000002,12046.81326649408,18.28172,0.38093713333771417,1060714.8,17426.031732886164,30.471900000000005,0.83130841181570836,336455.09999999998,12836.919147954119,18.315090000000001,0.65672189691595428,48.20986299982701,80.356012691608271,48.297861455568828
500,2092250,0,60.898140000000012,1.24799901014918,587157.80000000005,15735.077521964175,28.934800000000003,0.62095268919799507,1719695.3999999999,17296.798086479601,48.824010000000001,0.70501140802432682,553165.59999999998,15808.943131447255,28.74588,0.99474174180482089,47.513438013049331,80.173236818070293,47.203215073563811
700,2859150,0,82.510289999999983,0.66870225636426994,815008.59999999998,16527.874032810283,39.559460000000001,0.93137204190615752,2346958.2999999998,14381.08561850136,66.440799999999996,0.6679019073020972,772222.80000000005,15559.251201634208,38.917999999999992,0.55159501045201265,47.944880571865653,80.524259459032336,47.167450265900172
1000,3934500,0,115.96415999999999,2.2238920588313928,1206760.1000000001,11538.544597709597,57.176000000000002,0.93256180373087227,3184649.2000000002,20839.813497779251,92.773480000000006,1.059203830766821,1151249.6000000001,11658.331348105619,55.485109999999999,0.46147567758225239,49.304888682848222,80.001855745775245,47.846774382705831
