Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,DP_DistanceCalculations_Count_Avg,DP_DistanceCalculations_Count_Sigma,DP_RunTime_Avg,DP_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TICORDP_DistanceCalculations_Count_Avg,TICORDP_DistanceCalculations_Count_Sigma,TICORDP_RunTime_Avg,TICORDP_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,DP_RunTime_Percent,TICOR_RunTime_Percent,TICORDP_RunTime_Percent
15,652380,0,17.103293000000011,1.1511237753222379,293627.42999999999,44171.21901759223,11.270534000000003,0.80614469315816428,227481.73999999999,18796.978613123498,8.4247199999999971,0.59463302051846156,695880,0,20.754100000000005,1.0519179193696191,159668.79000000001,21108.850421734762,8.1564399999999964,0.62986953018105674,201043.79999999999,21535.343513922086,10.147344999999998,0.69184426071613725,65.896865591906746,49.257882677914665,121.34563794235407,47.689295856651647,59.329773512036489
20,869790,0,20.043573000000009,1.0078014757461715,342070.82000000001,55551.069379623987,12.85266,1.0226686005078314,297353.29999999999,25842.049339607478,9.7115650000000056,0.68873672989471146,913290,0,25.553364999999996,1.2908194472226866,183557.13,28536.562433982581,9.0699850000000009,0.69587880510106703,224893.19,29040.066222652818,11.152643999999999,0.91968714304090782,64.123597125123325,48.452264474003712,127.48907093560605,45.251338172091351,55.641995566359313
30,1304535,0,26.414474000000013,1.1127181534486354,420196.91999999998,61387.675001867829,15.885055000000001,0.90467947651489966,444722.47999999998,31876.112467647323,12.112406999999997,0.73065534210077732,1348035,0,35.662751000000014,1.2297845736037418,232488.76999999999,36742.145017155934,10.903705999999994,0.75826431771460256,274563.94,36861.726376979597,13.325124999999998,1.1247638666997324,60.137691933596692,45.855189090647777,135.01215659263175,41.279284985951222,50.446300766768978
50,2173725,0,39.107759999999999,0.92526869519928523,546899.65000000002,93552.545187619457,21.535355000000003,1.2298265159962072,744689.80000000005,39919.936017510168,16.687545,0.98801791240687642,2217225,0,57.141474999999993,1.0236479857918881,308303.5,64873.80385714049,14.104955,0.9865274496541151,351126.70000000001,64907.863293084025,16.779684999999997,1.6630725693173429,55.066705431351743,42.670674566889026,146.11288143325007,36.066895674924872,42.906279981262024
70,3042515,0,51.117854999999999,1.1937278074983166,614837.5,91206.266892542451,25.778664999999997,1.3092125573372235,1045233.6,52809.605556086804,21.149085000000003,1.0167264224874899,3086015,0,77.306425000000004,1.3434485871012012,352491.09999999998,72516.134598047254,16.541505000000001,0.94767627577031499,395299.90000000002,72379.508093687749,19.385540000000002,1.6677546252056199,50.429864476903418,41.373185553267064,151.23174671550677,32.359544429241019,37.923226629912392
100,4344950,0,68.768335000000008,1.2170587834590134,699442.30000000005,62832.517592908509,31.872530000000001,1.1642776735632681,1493428.55,66029.34839302818,27.398035,1.5105006717101592,4388450,0,108.24947000000002,1.7558881234892307,400162.09999999998,51914.932867346099,20.087505000000004,1.4155279634245461,443127.20000000001,51920.432046089831,22.452930000000002,1.7101791328457532,46.347683130615273,39.841062023677026,157.41179425094415,29.21039894306006,32.650099787932916
150,6513675,0,98.428804999999997,1.266433581060153,790442.25,57793.98893062459,40.207124999999991,1.0943301021629628,2288985.8500000001,77792.430972817179,38.613165000000002,1.3862108373377522,6557175,0,160.10543000000001,3.2877947155630349,494787.65000000002,43518.63056605454,25.644459999999999,1.4563189794460332,537783.25,43492.154937928019,27.695285000000002,1.5894363162603806,40.848941526822351,39.229537532229521,162.66115391729079,26.053816258360548,28.137378077484538
200,8679900,0,128.48437000000001,1.8351807910030715,867542,61287.067660677363,48.230190000000007,1.2387421931136442,3039469.2999999998,79512.563931117198,49.170549999999999,1.6039282695584882,8723400,0,214.52217999999999,4.6042394077632371,564305.59999999998,57344.24021682077,30.644290000000002,2.0356692704802959,607201.59999999998,57209.851481094483,32.226720000000007,1.5867789895816549,37.537787670204558,38.269674358056157,166.96363923487345,23.850597547390393,25.082210388703317
300,13004850,0,187.69150000000005,2.0501260936830175,991333.19999999995,57466.824413549926,62.816230000000004,1.1838129835878266,4663554.5,107529.57563309424,71.292910000000006,1.2530300426033938,13048350,0,327.34319999999997,3.0689235919672764,683959,50570.940067724005,40.168060000000004,2.630762540151935,726993.90000000002,50590.939479647277,41.357980000000005,2.421496267370423,33.467807545893123,37.98409091514533,174.40491444737768,21.40110766870103,22.035084167370389
500,21624750,0,304.17547999999999,1.5202526513708194,1252707.6000000001,49652.887751312555,91.628450000000001,1.6552758449206508,7916550.5999999996,290682.90677766228,116.12857000000001,4.6707440406689429,21668250,0,540.20705999999996,3.7034728507172776,961848.19999999995,65114.533393603204,59.111749999999994,3.2094276797688823,1004762.2,65106.593106655149,59.417409999999997,3.4719314501201382,30.123549077657408,38.178149665449702,177.59717515691929,19.433436909510259,19.533924956738787
700,30204650,0,419.77970999999997,2.472037555652332,1503175.3999999999,68049.182522969699,120.20565000000002,1.7501629328912991,11297202.5,274684.33739445964,162.09137999999999,3.7610101839798258,30248150,0,745.15652999999998,5.29602016697444,1249068.3,66821.569764477172,79.486149999999995,2.3423474959251176,1291805.8,66811.843302749185,77.569280000000006,2.1086495166338084,28.635412130805474,38.613438462759433,177.51132611912089,18.935205324716623,18.478568199496831
1000,42999500,0,595.63022000000012,3.5695527129693376,1778130.5,75733.020676071159,162.14769999999999,2.3324848471581152,16402859.199999999,241978.89788749028,232.80160000000001,4.3203981856100055,43043000,0,1061.45273,12.099190725742309,1534247,72641.404786342988,107.31627,2.5184793538297403,1576683.5,72637.295780320579,101.42479,3.2560845622550332,27.222879994235342,39.084920842330661,178.20666150888042,18.017264134113272,17.028147094349908
