Samples,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,DP_RunTime_Avg,DP_RunTime_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TICORDP_RunTime_Avg,TICORDP_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,DP_RunTime_Percent,TICOR_RunTime_Percent,TICORDP_RunTime_Percent
10,1.922132,0.35643582444172828,1.2969690000000005,0.14532267871356092,1.3469039999999999,0.19596015309240802,1.3704369999999997,0.12485734296355658,1.2138349999999998,0.16657786141664027,1.156631,0.15234318825957041,67.475542782701737,70.073439285127137,71.297756865813568,63.150449604917867,60.174379283004498
15,2.4454189999999998,0.23828560093961099,1.5726709999999999,0.18247832432230066,1.8258290000000001,0.25659844362684114,1.7946949999999995,0.20323070652772321,1.5266790000000001,0.20417382636549497,1.4060789999999996,0.17893366881996731,64.310901322022943,74.663237670108899,73.390081617914959,62.430160230210042,57.498490033814242
20,2.9979949999999986,0.26675411762084716,1.8111019999999984,0.18660431046154391,2.2164870000000003,0.17407435811320762,2.1298659999999998,0.15493570463162118,1.7589570000000001,0.16583046122379622,1.6231600000000004,0.14842648624211854,60.410440978053643,73.932311428137851,71.043013747521286,58.671111859759634,54.141517914472871
30,4.091193999999998,0.2834716524476727,2.2983100000000007,0.23475030426718377,3.0481100000000003,0.20518591298841374,2.8732099999999998,0.1261325072847575,2.2717100000000001,0.17617026457723256,2.1033379999999999,0.17934348556371207,56.176998695246468,74.504166754253205,70.229131153399251,55.526821754236082,51.411348374093258
50,6.0536949999999994,0.243511338707148,3.0577700000000005,0.16530587629253271,4.5673999999999992,0.21961948911697263,4.336735,0.20244177142030115,3.0717600000000003,0.17104428604742597,2.7447349999999999,0.14398324564447001,50.510803732266005,75.448135394994281,71.63781789469077,50.741902259694299,45.339829641235646
70,8.3712799999999987,0.47839342606819268,4.1647899999999982,0.35899608838214964,6.1366449999999997,0.49504870836908033,6.1774649999999998,0.35700890933155338,3.9565100000000002,0.23510025162851167,3.5868899999999995,0.22636202466519492,49.750934146271526,73.305934098489132,73.793553673990132,47.26290364197591,42.847569308397283
100,11.500860000000001,0.21945385176075524,5.4942650000000004,0.51274389038932378,8.3791699999999985,0.25496516604182795,8.8949800000000003,0.21562938624066597,5.213144999999999,0.28786562741558497,4.7249249999999998,0.23485496504281775,47.772644828299796,72.85689939708854,77.341868347236641,45.328305883212202,41.083232036560737
150,16.717315000000003,0.56473794507298936,7.2860199999999988,0.30349541330098695,12.137269999999997,0.38369574171539372,12.909904999999998,0.28556287440219197,7.0463900000000006,0.34705201020808624,6.3703850000000006,0.22720260208619281,43.583673574374814,72.602986783463692,77.224751702052615,42.150249606470886,38.106508132436339
200,21.802869999999995,0.69019781552505288,9.3598099999999995,0.34920969010992042,15.713370000000001,0.36688679770922972,17.027259999999998,0.90535657211215248,9.0535600000000009,0.5956607184929652,7.9792699999999996,0.36430083432362415,42.929256561177503,72.070190759289972,78.09641574710119,41.52462496909812,36.597337873408414
300,31.925889999999999,1.1701980871725199,13.633909999999997,1.7241810264908706,23.053890000000003,0.70296862811302685,24.852309999999999,0.60188327116735063,12.76444,0.9145586576170075,11.593960000000001,1.2205834890648728,42.704870561165237,72.210641582740536,77.843750009788295,39.981469584716351,36.315228800199471
500,50.169329999999995,1.16773892634917,22.14837,0.98128061458257443,36.598670000000006,1.2171021275965288,39.396639999999998,0.95395942750901697,20.039059999999999,0.69847322099307696,18.601399999999998,0.87196677179300319,44.147230987537611,72.950286559537489,78.527339312683665,39.942849545728436,37.077234238527801
700,68.055350000000004,0.64893714513297129,29.657939999999996,1.4814968040615017,49.971169999999994,1.6451851581373922,52.869700000000002,1.7624514713571222,28.293579999999999,1.3870884949738747,24.517770000000006,0.77461769358969812,43.579145504357847,73.427247086378941,77.686324440326885,41.574365571553152,36.026219834296647
1000,94.076870000000014,1.1417449404310931,41.884130000000006,1.4619871013642898,68.266639999999995,1.6584118267520616,72.016210000000015,2.0123773582782905,39.602050000000006,0.98848869745688073,35.565829999999991,0.71277223734748141,44.521177203280679,72.564744128923493,76.550389059499963,42.095416227176777,37.805073659444652
