Samples,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,107.51193800000006,9.5795978462941349,55.943777999999995,5.3480546141636172,20.537721999999999,2.7465763070080875,20.434289000000007,2.8355077703181037,52.034945179762232,19.102736293340733,19.006530232949569
15,148.76635300000001,9.4517384936323285,77.79083700000001,5.7932025855395395,25.317707000000006,3.7556969512390732,25.301085000000004,3.6854413464408236,52.290612380610021,17.018436285791051,17.007263060350752
20,190.66941899999995,7.46556683890788,101.24571399999999,6.2674306492562311,29.301660999999989,4.4277782552603684,29.237141000000005,4.5579412905277739,53.100132433927442,15.367782182207204,15.333943509839935
30,266.0672380000002,11.218340604741684,141.63360900000001,8.6589461716221265,36.639717000000012,5.8979946642058785,37.071449000000001,5.8232702492896227,53.232261914185734,13.770848780713084,13.933113027617468
50,420.83286499999997,12.962239223313027,223.36168999999995,8.0400832459620695,49.067359999999994,6.2396093348862793,50.439555000000006,6.4470523415927703,53.076104215387254,11.65958366868519,11.985650170169103
70,585.8916999999999,17.157104029250576,307.26621500000005,10.948917502382304,64.103944999999996,8.9304567607282479,65.636975000000007,8.9208641660037333,52.444200011708666,10.941261840712201,11.202919413263579
100,831.08277500000008,43.928066089998055,417.82972000000001,14.867613811396973,78.513294999999999,8.1436804585535096,81.746530000000021,7.7433502766873259,50.275343511962447,9.4471089236568506,9.8361477892499956
150,1294.6556500000002,43.374132173153747,591.43969500000014,18.16765971156541,115.46575,16.654549347803471,120.09896500000002,16.530559780449856,45.683166407994285,8.9186456645827015,9.2765180455513416
200,1772.7183,45.086924490144604,784.67707999999993,20.308711034474296,157.71742,19.122600904967577,163.65258,21.147745177719955,44.264059326290024,8.8969251346928608,9.2317307267601407
300,2682.0080600000001,20.85454595638835,1056.14869,20.99985113711524,201.98719,21.218621120581268,205.70336000000003,23.275682566155695,39.379027444086056,7.5311925050665209,7.6697517456379316
500,4430.5150200000007,19.955146287099996,1568.2431800000002,28.780661629210545,344.91665,31.49071543502059,346.58032000000003,28.648874428415354,35.396408158435719,7.7850238277716066,7.8225740898176666
700,6200.2988400000004,19.218771677838571,1990.55693,78.551095005792291,476.74553000000003,49.727019730324784,457.18045000000001,50.903835785162379,32.104209512585363,7.6890734189192722,7.3735228220064304
1000,9061.5878900000007,58.450643339895528,2494.0370499999999,57.592457871018041,678.69335000000001,59.303210115571893,612.48514999999998,54.036469955664614,27.523178942537406,7.4897838904037819,6.7591371118952965
