Samples,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,13.722782999999998,1.3607856030193914,7.8504030000000036,0.97763761473691513,4.1819890000000015,0.43504681343250617,4.0502240000000009,0.43751927867942197,57.207076727803717,30.47478780361099,29.514596273948236
15,19.234329999999989,1.0583161284690781,10.936643999999994,0.84171160459932581,4.9204330000000001,0.37876576649652083,4.8556570000000008,0.43071720133547331,56.860020598585969,25.581514926696187,25.244742083555828
20,23.980351000000006,1.3011837469521061,13.364434999999999,1.0528420074260951,5.6227259999999992,0.41082304077585913,5.564988999999998,0.43904564979629446,55.730773081678393,23.447221435582815,23.206453483520725
30,34.511750999999997,1.2120717128411571,18.562971999999998,1.2724113683550582,7.2329230000000022,0.44892723687821728,7.018184999999999,0.49330188011423848,53.787395487409491,20.957855774979375,20.335638722010945
50,55.468269999999997,2.5060440702849824,28.594529999999992,1.6394686180524913,10.099285000000002,0.60802033317367898,9.6873999999999985,0.77088954222754191,51.551148070779909,18.207319247562619,17.464759582370245
70,79.805829999999986,4.8844251638404561,37.638804999999998,3.4919391704286156,13.658074999999997,1.8711945491907174,12.466345,1.7082232469887044,47.162976689798235,17.1141318873571,15.620844993404621
100,119.36862000000001,3.9292352987907404,51.48257000000001,2.165516178918526,18.529315000000004,1.0608608863981523,16.319794999999999,0.91703332228671519,43.129065243445062,15.522768881804952,13.671763148472353
150,179.134455,2.1457363850632292,69.579919999999987,3.710181720560187,26.561005000000002,1.1929194460274866,22.044989999999999,0.97168377025060082,38.842287487351321,14.827412738660465,12.306392982857485
200,239.95337000000001,4.0640230229690202,88.542439999999999,3.8900655347807307,35.153840000000002,1.6438031817843781,27.910419999999998,1.2189318336605668,36.899852667207803,14.650279760605153,11.631601589925575
300,361.20486,7.6530998431572392,122.89727999999998,4.5671787033621136,52.678080000000001,2.0446070080417251,40.113890000000005,1.8122627289600639,34.024259806471036,14.583989816748312,11.105578701238962
500,584.22032000000002,9.1426663794662346,174.16494999999998,6.174197646883183,86.48839000000001,1.9661398234724945,60.970659999999995,1.9733546424525141,29.811518709243114,14.804070834099029,10.436244326455471
700,823.80113999999992,24.077051581269483,220.49006,6.6490064656642076,119.78234,3.332820127226257,80.940610000000007,2.5562034019442006,26.764961747928638,14.540200806228553,9.8252607419309967
1000,1199.6005499999999,15.311542488756654,286.18937,7.4843683129944623,183.23493000000002,6.3356822547729141,114.95102,4.2583780952115786,23.857055584044208,15.274662053130939,9.5824414218549681
