Samples,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,17.969304000000001,2.0054864163704691,10.204694999999997,1.355413308047148,5.1407579999999982,0.72611442807771442,4.9859059999999999,0.68492368295948702,56.789595189663416,28.608553787058185,27.74679531271773
15,26.303266999999995,1.5250396060467122,14.400308000000003,1.1321126249145483,6.2960440000000002,0.61744288809949588,6.0214859999999994,0.51442294198097693,54.747222084617874,23.93635741141966,22.89254030687519
20,34.465215000000008,1.7155359459638084,18.171922999999996,1.5304928706274377,7.4606869999999965,0.57327985773428181,7.0352679999999967,0.57236477788701889,52.725401538913928,21.64700553877292,20.412662448210448
30,51.698475000000016,1.7689060504812837,25.561019000000002,1.4774201752655938,9.6387110000000025,0.62492343626312263,8.8907950000000007,0.6106023830421623,49.442500963519706,18.644091532680605,17.197402824744827
50,88.594069999999988,3.8574287643045602,39.931459999999994,6.7552066395913402,14.479449999999996,1.472755414895923,12.600815000000001,0.64698176682597719,45.072384641545419,16.34358823338853,14.223090777971937
70,126.42265,3.8344110174905133,51.939640000000011,2.7180117013806435,19.238339999999997,0.97988224555703374,16.39575,0.80324835282482188,41.084125352537704,15.217478829940678,12.968997248515199
100,184.96105499999999,4.1911100944329647,69.482690000000005,2.5423190753615823,26.776535000000003,1.288564273369887,21.683249999999997,0.95150810904529193,37.566118986507732,14.476850275318771,11.723143555815033
150,282.481585,3.6603355381533591,94.612079999999992,4.0330027709022538,39.881789999999995,2.0883049769458575,29.95186,1.8663400650245361,33.493185051337058,14.118368105304988,10.603119491842275
200,382.45911999999998,5.1823258092181845,116.41878000000001,4.6771444146093151,51.378949999999989,2.883521805111859,37.095559999999992,1.8579333920604721,30.439535603177671,13.433840981488423,9.6992222332154068
300,574.24875000000009,11.451439370785574,156.09048999999999,4.7556152828816831,76.039569999999983,3.2500222197701971,52.372350000000004,2.567360286472383,27.181685637104124,13.241573447047116,9.1201504574454884
500,948.29261999999994,7.7970251376620174,216.70602000000002,6.8849185638369477,131.99639999999999,5.1660722692497387,79.583189999999988,3.3385926317836367,22.852230991737553,13.919374380452313,8.392260819239528
700,1323.2199100000003,17.669835430627082,265.87111999999996,6.4664131130360456,179.72159000000002,3.9323681048588428,101.14582999999999,2.7864349728441349,20.092738779905446,13.5821407040346,7.6439168754647868
1000,1891.2451999999998,19.232649039300036,337.23187999999999,6.09883245489568,263.41892000000001,11.136993682697518,138.88194000000004,3.0962704623465953,17.831208771871573,13.92833250812745,7.3434126891637348
