Samples,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,DP_RunTime_Avg,DP_RunTime_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TICORDP_RunTime_Avg,TICORDP_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,DP_RunTime_Percent,TICOR_RunTime_Percent,TICORDP_RunTime_Percent
10,13.893232000000001,1.9022082820923174,7.7178169999999975,0.89631812230633123,4.087365000000001,0.49629976429105171,8.075228000000001,0.79035714418843406,4.0520120000000004,0.55421754567620252,4.1296090000000003,0.51102816070084933,55.550911407799113,29.419828302010654,58.123466159638021,29.165366273304873,29.72389002069497
15,19.236592999999992,1.1939079812650069,10.412981000000002,0.98648316584929141,4.6680340000000005,0.40115007776757233,11.226967000000004,0.73860145525721821,4.616420999999999,0.40990295360332207,4.5594500000000018,0.40610519448770788,54.131108351671244,24.26642805199446,58.362554117561302,23.998121704815407,23.701962192577469
20,24.181401000000019,2.2166021300924315,12.687241999999999,1.0425752549617635,5.5235450000000004,0.80539055428049444,14.226913000000001,2.1808574756322825,5.4185940000000006,0.66524200059645644,5.1876689999999988,0.52190619182923759,52.466943499262051,22.842121513141425,58.834113871235132,22.408106130823423,21.453136648285987
30,34.232938000000004,1.2276475302550867,17.654599000000005,1.2501267883573597,6.9128569999999998,0.52040529179504202,20.614979999999999,0.86575867167228382,6.6811079999999974,0.53641480287500853,6.3214250000000005,0.46475078830193794,51.571965573039634,20.193583735056567,60.219721719473796,19.516607075910329,18.465914319127386
50,52.990034999999999,1.4101570611572247,26.382970000000007,1.9507862814503121,9.7852399999999999,0.51444632311682537,34.195875000000001,1.4241330152522902,9.255370000000001,0.60971685844634838,8.5986950000000011,0.71672101632144292,49.788549866026713,18.466188973077674,64.532652224139881,17.466246247997386,16.227003813075424
70,73.594600000000014,1.5128448287215304,35.539959999999994,2.1324131021722295,12.520160000000001,0.84836303760769027,49.222589999999997,3.0358950928237918,11.477655000000002,0.83253931057812181,10.700304999999998,0.82920522155095511,48.291532259160299,17.012335144154598,66.883426229641842,15.595784201558267,14.539524639036012
100,105.18080500000001,2.4687057245010413,46.859640000000006,2.4400288720034702,16.591339999999995,0.91810271550111755,72.420304999999999,3.503529444713386,14.991505,0.9814102111784162,13.937704999999998,0.88732986833355343,44.551512987564607,15.774113917458603,68.853157189660223,14.253080683305285,13.251186849159405
150,157.14277999999999,2.3798917294258306,63.559939999999997,2.6255955774282009,23.534849999999999,1.0312235708894046,113.21721500000001,4.4846277120937206,20.388605000000005,0.87047770700617988,18.776999999999997,0.69916982426152718,40.447254401379432,14.976730079485675,72.047354005064705,12.97457318751775,11.949005865875607
200,206.53387000000004,2.5364237864669987,77.999119999999991,3.9829670589761212,30.644449999999996,1.5507023192017793,150.22701000000001,1.6095712365237032,25.533980000000003,1.2742433779393254,23.76981,1.2135959664933336,37.765776625402886,14.837493724394934,72.737227070794731,12.363095699509236,11.508916188904026
300,304.13262999999995,1.943214023810383,106.84454000000001,4.0901740974084602,44.543389999999995,1.306728274440492,223.20346000000001,1.4880596883189898,36.238760000000006,1.4852669338839022,33.050879999999999,1.1147604533909712,35.130903250992844,14.646041103843414,73.390171912826332,11.915446231468163,10.867258800872502
500,496.88650999999999,2.5145742857942639,154.53127999999998,6.1380807037886234,73.31698999999999,2.7355942951517265,365.94663000000003,1.5931402275241044,54.156719999999993,3.0280740163418134,50.305669999999999,2.7313706242064222,31.099914545878896,14.755278826144824,73.647930188324096,10.899213182503184,10.124177047994319
700,690.71269999999993,3.0525122829855671,190.72385,4.799210726833695,102.44901,2.2954578490043214,510.16997000000003,1.5906159219692859,72.118160000000017,2.2244146616831837,69.490349999999992,12.323318081791124,27.612616649440501,14.832362283189525,73.861385493563404,10.441122625948534,10.060673562249542
1000,986.98410000000001,5.6686279545112654,246.50832999999997,5.1847421273172065,147.52563000000001,3.4482692654109512,735.63308000000006,4.5618625552387044,98.009280000000018,2.6852303753019888,90.519389999999987,2.009007550702032,24.975917038582484,14.947113129785981,74.533427640830283,9.9301782065182227,9.1713118782764571
