Samples,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,1.8968300000000005,0.24614820841324545,1.2508400000000002,0.14911542001030101,1.3521440000000005,0.20820992481608364,1.1839109999999999,0.18284775634114273,65.943706078035447,71.284406088052179,62.415240163852303
15,2.4640749999999993,0.21066875688213152,1.5579639999999995,0.17013025581428587,1.8730810000000002,0.19694891954027266,1.5287959999999996,0.17504836152540038,63.227133914349196,76.01558394123559,62.043403711331834
20,3.0319459999999996,0.28583289687041502,1.7276690000000008,0.16476125776284897,2.2491800000000008,0.2059229712805497,1.7166510000000006,0.15332394338508093,56.982182400346211,74.182719613080224,56.618785426917256
30,4.118278000000001,0.24053436873223366,2.1845849999999993,0.21732697860899167,3.0963230000000008,0.26267380426196774,2.1895510000000002,0.18693122350806518,53.046078967956966,75.184895240195061,53.166663348127535
50,6.3073199999999998,0.28290744925170352,2.8388799999999992,0.11436366095647875,4.5453100000000006,0.20973151483692079,2.8655199999999996,0.17530843075772726,45.009290792285775,72.06404621931344,45.431657185619244
70,8.3774549999999994,0.61971819272531992,3.7227100000000002,0.2414644833859467,5.9780050000000005,0.1808280121377332,3.6953899999999997,0.17936166315722624,44.437242575459976,71.358246627406544,44.111129215256902
100,11.873605,0.20965113999213084,4.7279850000000003,0.2762973575030313,8.4798999999999971,0.44698541951965048,4.6981899999999985,0.24047969801605854,39.819288244808554,71.418073954792973,39.568353503422074
150,18.217855,0.41866143270767381,6.8547350000000007,0.5124834161886811,13.10045,0.53714206147957377,6.7235550000000019,0.83105708365278586,37.626465903916795,71.90994768593778,36.906403086422642
200,23.996029999999998,0.69925570120426361,8.8524799999999981,0.3862686911694731,17.14048,0.49258584767869046,8.5669799999999992,0.52619587776585441,36.891435791670538,71.43048245897343,35.701655648871913
300,34.660469999999997,1.0119928590547351,12.54486,0.41193258402046523,24.793760000000002,0.63209057578799588,12.41366,0.67591799995758872,36.193565753724634,71.533248106560606,35.815036553168497
500,55.806489999999997,0.97373588188310478,20.089459999999999,0.54467280739092461,39.5764,0.49023332540060305,18.84722,0.50867321926753684,35.998429573334569,70.917199773718082,33.772451913746949
700,78.751309999999989,1.4875820555892398,28.016259999999999,0.6141087384711823,56.345370000000003,0.74446855026477365,26.571949999999998,0.6233523067522353,35.575611377131381,71.54848598709026,33.741597441363197
1000,110.49332999999999,1.949580028878013,41.002339999999997,1.2028323501912761,80.119119999999995,1.2614721363021297,38.359049999999996,0.97943311523667698,37.108429983963738,72.510367820392418,34.71616793520478
