Samples,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,DP_RunTime_Avg,DP_RunTime_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TICORDP_RunTime_Avg,TICORDP_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,DP_RunTime_Percent,TICOR_RunTime_Percent,TICORDP_RunTime_Percent
10,111.10110299999998,9.8167444892367737,58.942954,5.5312810413563938,21.381812,3.0173775182988543,47.699038999999992,4.0392793496393926,21.484988999999999,3.0006088403029207,21.846728999999993,2.7917465155580121,53.053437282256333,19.245364287697488,42.933002204307549,19.338231952566666,19.663827279914578
15,151.91180599999998,11.036387986330135,82.31499500000001,7.8963309059229108,25.544687999999997,2.9427864834417177,68.939921999999981,5.0379026132029567,25.462012000000009,3.0455657210887281,24.864924999999999,2.613219196424327,54.186041998605447,16.815472524893817,45.381543288347181,16.761048841720708,16.36800039096369
20,192.96611800000002,10.843289895416261,103.854972,6.4230955991778425,29.161220000000007,4.1800038890079048,89.182317000000026,4.4890441527866134,29.199062000000005,4.2629637336126818,27.899402000000009,3.7518233245695134,53.820314714524123,15.112093409061586,46.216567926188993,15.131704105691757,14.458186903049999
30,270.47387599999996,10.841396899363069,147.880743,10.15060674437944,36.285728999999996,5.200816542073178,129.69816099999997,5.8391551988400181,36.668765000000008,5.1995924458659308,34.281806999999986,4.3288291520837729,54.674686216276214,13.415613195856299,47.952195205721083,13.557229830211037,12.674720201074056
50,425.05850500000008,8.1321508326987733,227.72134999999994,9.7701247539575835,52.068060000000003,8.9239469486615786,208.93372500000001,5.4303227678496553,51.972849999999994,9.2565327174351513,46.673870000000001,7.2123504211872573,53.574119167430823,12.249621966745494,49.154109973637624,12.227222697261402,10.980575485720486
70,565.75085999999988,11.087423135502876,303.45598999999999,8.7348797406779024,61.743785000000003,8.5733016551246557,281.32221500000009,6.911235621285166,62.268220000000007,8.7439910484496952,55.878795000000004,7.4955205394516877,53.637742592207466,10.913599848526969,49.72545954238587,11.006297012080552,9.8769262144824683
100,798.10727500000007,7.8270010979452946,414.45181000000002,10.90029385837107,79.067379999999986,12.721654164231781,397.59484999999989,4.6946978127625938,79.245460000000008,12.139621366088811,69.792319999999989,10.245526355367319,51.929336191052762,9.9068612048424161,49.81721912007378,9.9291739948116629,8.7447292094912914
150,1189.0898949999998,16.185753208673351,578.66487000000006,19.473902691175393,105.70228499999999,16.762417080207012,613.26305500000001,23.921062066821154,106.75985499999997,16.238413045079412,93.040800000000004,13.122516113355056,48.664518337362558,8.8893434755830647,51.574154113890614,8.9782829245218654,7.8245387830833435
200,1596.02998,16.995240592510967,739.60670000000005,20.526625549866811,139.80064999999999,19.079603493099352,842.90152,23.29304294675892,140.87433000000001,19.745535321577552,120.57530999999999,15.447680951697713,46.34040145035371,8.7592746848025982,52.812386393894684,8.8265466040932399,7.5547020739547754
300,2349.5152400000002,23.991316341552437,1030.8354199999999,32.247341190168086,178.41009000000003,18.396951016250853,1263.2670900000001,16.661245596723365,181.02234000000001,19.456983229233323,156.11000999999996,16.406504831888416,43.87438746726324,7.593485113976107,53.767137513864348,7.7046676232668316,6.6443497510575824
500,3849.0844600000005,24.166155308851941,1535.4517300000002,46.172620707756394,292.12400000000002,32.232407154325635,2063.7283599999996,18.949853342452148,293.48305000000005,34.157660104132489,252.51599000000002,27.8887239018628,39.89134938338038,7.589441152455251,53.616084070028414,7.6247495488836323,6.5604169673117534
700,5439.0765499999998,64.04692147574734,1934.6882899999996,42.743471227011199,394.29039,32.811988997466905,2924.4902799999995,44.22026045626091,387.07299999999998,30.829671878529251,335.12696999999997,29.231370369406985,35.570161078170514,7.2492156779812191,53.768139740559441,7.1165205424439186,6.1614681631939892
1000,8239.9823300000007,113.63199721796921,2550.0702700000002,72.398595657789585,574.71357000000012,57.58742042908041,4497.3885300000011,82.174895471671306,547.77849000000003,55.421436803028762,476.82388000000003,49.064753712909273,30.947521097414779,6.9746942042289559,54.580074930816032,6.6478114644209434,5.7867099819375465
